id,area,nombre,pregunta,unidad,direccion,agregacion,grano_min,cube,roles_minimos,relacionados
FIN-01,finanzas,Ventas netas contables,¿Cuánto facturamos netos de descuentos y devoluciones en el período?,moneda,mayor_mejor,aditivo,dia,eerr.ventas_netas,contabilidad o facturacion,VEN-01|FIN-19
FIN-02,finanzas,Costo de mercadería vendida (CMV),¿Cuánto nos costó lo que vendimos?,moneda,menor_mejor,aditivo,dia,eerr.cmv,contabilidad o inventario o ventas,FIN-03|VEN-08
FIN-03,finanzas,Margen bruto ($ y %),¿Cuánto nos queda después del costo de la mercadería?,moneda | porcentaje,mayor_mejor,"ratio (recalcular, nunca promediar porcentajes)",mes (contable) / dia (gestión),"eerr.margen_bruto, eerr.margen_bruto_pct",contabilidad o facturacion+ventas,VEN-08|VEN-09|INV-11
FIN-04,finanzas,Gastos operativos por línea,"¿Cuánto gastamos en comercialización, administración y personal?",moneda,menor_mejor,aditivo,mes,eerr.gastos_operativos,contabilidad o facturacion,FIN-05|FIN-22
FIN-05,finanzas,EBITDA y margen EBITDA,"¿Cuánto genera el negocio operativamente antes de amortizaciones, intereses e impuestos?",moneda | porcentaje,mayor_mejor,ratio,mes,"eerr.ebitda, eerr.ebitda_pct",contabilidad o facturacion+ventas,FIN-06|FIN-20
FIN-06,finanzas,Resultado neto,¿Ganamos o perdimos plata en el período (después de todo)?,moneda,mayor_mejor,aditivo,mes,eerr.resultado_neto,contabilidad,FIN-05
FIN-07,finanzas,Caja disponible,¿Cuánta plata tenemos hoy disponible?,moneda,mayor_mejor,snapshot (no sumar entre fechas; usar último valor del período),dia,tesoreria.caja_disponible,tesoreria,FIN-08|FIN-09|FIN-16
FIN-08,finanzas,"Flujo de caja (operativo, inversión, financiación)",¿Cuánta plata entró y salió y por qué?,moneda,mayor_mejor,aditivo,dia,tesoreria.flujo_neto,tesoreria,FIN-07|FIN-09
FIN-09,finanzas,Burn rate y runway,¿Cuántos meses de caja nos quedan al ritmo actual?,moneda | meses,mayor_mejor (runway),calculado,mes,"tesoreria.burn_rate, tesoreria.runway_meses",tesoreria,FIN-07|FIN-08
FIN-10,finanzas,"Cuentas por cobrar (total, vencida y % vencida)",¿Cuánto nos deben y cuánto está vencido?,moneda | porcentaje,menor_mejor,snapshot,dia,"cxc.saldo_total, cxc.saldo_vencido, cxc.pct_vencido",cuentas_corrientes,FIN-11|FIN-12|FIN-15
FIN-11,finanzas,Aging de cuentas por cobrar,"¿Cuánto de lo que nos deben tiene 0-30, 31-60, 61-90, >90 días de atraso?",moneda,menor_mejor (tramos altos),snapshot,dia,cxc.saldo_total (dimensión tramo_aging),cuentas_corrientes,FIN-10
FIN-12,finanzas,DSO (días de cobro),¿Cuántos días tardamos en promedio en cobrar?,dias,menor_mejor,calculado,mes,cxc.dso,cuentas_corrientes; facturacion,FIN-14|FIN-15
FIN-13,finanzas,Cuentas por pagar y DPO,"¿Cuánto debemos a proveedores, cuánto vence pronto y en cuántos días pagamos?",moneda | dias,neutral,snapshot / calculado,dia,"cxp.saldo_total, cxp.saldo_vencido, cxp.vence_7d, cxp.dpo",cuentas_corrientes; facturacion,FIN-14|FIN-16
FIN-14,finanzas,Ciclo de conversión de caja,¿Cuántos días pasa la plata atrapada en el negocio?,dias,menor_mejor,calculado,mes,capital_trabajo.ciclo_caja,cuentas_corrientes; inventario,FIN-12|FIN-13|INV-04
FIN-15,finanzas,Efectividad de cobranza (CEI),¿Qué porcentaje de lo cobrable efectivamente cobramos en el período?,porcentaje,mayor_mejor,calculado,mes,cxc.cei,cuentas_corrientes; facturacion,FIN-10|FIN-12
FIN-16,finanzas,Proyección de caja 7/30/60/90 días,¿Cuánta plata vamos a tener en las próximas semanas?,moneda,mayor_mejor,serie proyectada,dia,tesoreria.proyeccion (mart marts.fin__proyeccion_caja),tesoreria,FIN-07|FIN-13
